日期,平台,城区,小区,服务类型,服务等级,计价方式,单价(元),总价(元),促销价(元),淡旺季
2026/1/17,天鹅到家,江南,汇东星城,深度清洁,新手,3小时,80.8,242,,旺季
2025/4/22,美团家政,青秀,龙光君御华府,日常保洁,新手,3小时,55.8,167,,旺季
2025/5/5,美团家政,武鸣,九个半岛,开荒保洁,新手,80㎡,5.1,408,,平日
2025/12/18,天鹅到家,良庆,融创九棠府,日常保洁,熟练,3小时,59.4,178,,旺季
2025/3/6,58到家,青秀,万正鸣翠谷,开荒保洁,熟练,150㎡,7.4,1110,904,旺季
2026/1/6,美团家政,良庆,天誉花园,深度清洁,熟练,3小时,99.5,298,,旺季
2025/10/18,美团家政,江南,金湾花城,开荒保洁,新手,80㎡,4.4,352,282,旺季
2025/5/15,天鹅到家,良庆,天誉花园,开荒保洁,熟练,80㎡,6.3,504,,平日
2025/7/6,天鹅到家,青秀,蓝山上城,日常保洁,金牌,4小时,63.4,254,,旺季
2026/1/28,天鹅到家,青秀,莱茵湖畔,日常保洁,熟练,3小时,68.5,206,,旺季
2025/1/23,美团家政,青秀,荣和大地,日常保洁,熟练,3小时,65.1,195,,旺季
2025/7/18,天鹅到家,江南,昌泰鑫金绿洲,开荒保洁,新手,120㎡,4.7,564,,旺季
2025/1/7,美团家政,西乡塘,骋望麓涛,深度清洁,熟练,3小时,90.6,272,,旺季
2025/8/1,58到家,兴宁,奥园园著,开荒保洁,新手,60㎡,4.5,270,,旺季
2025/2/9,美团家政,武鸣,红岭小区,日常保洁,新手,4小时,53.6,214,,旺季
2025/5/8,天鹅到家,西乡塘,人和莱茵鹭湖,深度清洁,熟练,5小时,66.9,334,,平日
2025/7/3,天鹅到家,江南,风格雨林,家电清洗-洗衣机,新手,2台-洗衣机,102.9,206,,旺季
2025/10/1,天鹅到家,江南,金湾花城,家电清洗-油烟机,熟练,2台-油烟机,131.9,264,,旺季
2026/2/27,天鹅到家,良庆,万科魅力之城,深度清洁,新手,4小时,76,304,278,旺季
2025/8/18,58到家,青秀,荣和大地,家电清洗-热水器,熟练,1台-热水器,146,146,,旺季
2025/6/3,美团家政,青秀,万达公馆,日常保洁,金牌,5小时,58.8,294,,平日
2025/9/19,天鹅到家,江南,昌泰鑫金绿洲,日常保洁,新手,3小时,38.9,117,105,平日
2025/5/8,美团家政,良庆,绿地国际花都,日常保洁,熟练,3小时,49.5,148,,平日
2026/2/10,58到家,青秀,香格里拉花园,家电清洗-挂机空调,熟练,2台-挂机空调,138.7,277,,旺季
2025/7/15,美团家政,兴宁,龙基传媒星城,日常保洁,金牌,4小时,56.8,227,200,旺季
2026/1/18,天鹅到家,邕宁,阳光城丽景湾,深度清洁,熟练,3小时,101.3,304,256,旺季
2025/3/18,58到家,江南,融晟公园大地,日常保洁,熟练,4小时,55,220,,旺季
2025/10/22,天鹅到家,青秀,龙光君御华府,日常保洁,熟练,3小时,57.2,172,,旺季
2026/1/17,美团家政,江南,汇东星城,日常保洁,熟练,5小时,57.2,286,242,旺季
2025/9/7,58到家,西乡塘,龙光水悦龙湾,深度清洁,金牌,4小时,72.9,292,258,平日
2025/6/15,天鹅到家,武鸣,红岭小区,日常保洁,熟练,3小时,56.6,170,,平日
2025/11/1,天鹅到家,青秀,莱茵湖畔,日常保洁,新手,4小时,46.9,188,,平日
2026/4/19,美团家政,青秀,万达公馆,日常保洁,熟练,3小时,60.8,182,166,旺季
2026/4/20,美团家政,邕宁,南宁宝能城市广场,日常保洁,熟练,3小时,59.3,178,,旺季
2025/6/19,美团家政,兴宁,保利山渐青,日常保洁,熟练,3小时,44.2,133,,平日
2025/3/14,天鹅到家,西乡塘,大嘉汇尚悦,日常保洁,金牌,4小时,61.7,247,197,旺季
2026/2/9,天鹅到家,西乡塘,大嘉汇尚悦,深度清洁,金牌,3小时,92.8,278,249,旺季
2025/12/4,58到家,邕宁,阳光城丽景湾,日常保洁,金牌,4小时,58.2,233,,旺季
2026/5/16,天鹅到家,青秀,万达公馆,深度清洁,熟练,3小时,77.5,232,,平日
2025/8/23,天鹅到家,武鸣,麒麟御府,日常保洁,金牌,3小时,70,210,,旺季
2025/3/22,美团家政,良庆,合景天汇广场,日常保洁,新手,4小时,51.8,207,164,旺季
2025/7/18,美团家政,武鸣,万隆国际,日常保洁,新手,4小时,53.8,215,175,旺季
2026/5/7,天鹅到家,西乡塘,龙光水悦龙湾,深度清洁,熟练,4小时,72.9,292,,平日
2025/6/18,58到家,江南,融晟公园大地,开荒保洁,熟练,100㎡,5.2,520,,平日
2025/12/28,天鹅到家,邕宁,万丰新新传说,家电清洗-洗衣机,金牌,1台-洗衣机,191.3,191,,旺季
2026/5/1,天鹅到家,青秀,万达公馆,家电清洗-挂机空调,新手,2台-挂机空调,111.6,223,,平日
2025/7/30,58到家,江南,汇东星城,日常保洁,新手,3小时,39.2,118,,旺季
2025/11/10,天鹅到家,良庆,南宁恒大名都,深度清洁,熟练,3小时,78,234,,平日
2025/12/19,58到家,青秀,香格里拉花园,深度清洁,熟练,3小时,81.7,245,,旺季
2025/8/31,美团家政,青秀,盛天茗城,日常保洁,熟练,3小时,58,174,,旺季
2025/4/24,天鹅到家,西乡塘,龙光水悦龙湾,开荒保洁,新手,150㎡,5.7,855,,旺季
2025/6/16,58到家,邕宁,万丰新新传说,深度清洁,新手,5小时,60,300,,平日
2025/7/21,天鹅到家,武鸣,麒麟御府,深度清洁,熟练,3小时,99.3,298,251,旺季
2026/5/19,天鹅到家,青秀,龙光君御华府,深度清洁,熟练,3小时,77.6,233,,平日
2026/3/29,58到家,兴宁,江宇世纪城,深度清洁,熟练,4小时,83.1,332,,旺季
2026/4/8,美团家政,江南,保利城,日常保洁,熟练,3小时,56.5,170,,旺季
