订单ID,下单时间,城区,小区,服务类型,服务等级,服务时长,订单金额,客户评分,订单来源
NN20251218000283,2025-12-18 12:21,兴宁,恒大华府,日常保洁,熟练,3.5,168,4.1,美团
NN20251217000284,2025-12-17 12:49,武鸣,标营新区,开荒保洁,熟练,6.5,882,3.5,美团
NN20251217000285,2025-12-17 19:39,兴宁,恒大华府,日常保洁,金牌,3.5,185,4.0,小程序
NN20251213000286,2025-12-13 17:29,西乡塘,大嘉汇尚悦,日常保洁,熟练,3.0,138,4.5,美团
NN20251206000287,2025-12-06 18:54,武鸣,武鸣碧桂园,日常保洁,新手,5.0,261,4.1,电话
NN20251225000288,2025-12-25 18:48,江南,风格雨林,深度清洁,新手,4.0,220,3.7,美团
NN20251218000289,2025-12-18 13:54,西乡塘,大唐天城,日常保洁,新手,3.0,127,3.8,APP
NN20251227000290,2025-12-27 10:22,江南,保利城,日常保洁,新手,4.0,151,4.5,小程序
NN20251202000291,2025-12-02 17:33,青秀,万正鸣翠谷,日常保洁,金牌,4.0,239,4.6,小程序
NN20251202000292,2025-12-02 19:39,武鸣,金茂新城,日常保洁,熟练,4.0,224,4.0,APP
NN20251201000293,2025-12-01 15:57,邕宁,大唐盛世,开荒保洁,新手,5.5,396,4.5,58到家
NN20251230000294,2025-12-30 13:41,兴宁,江宇世纪城,深度清洁,熟练,7.5,521,4.0,APP
NN20251210000295,2025-12-10 08:31,青秀,龙光君御华府,家电清洗,金牌,3.5,382,4.2,美团
NN20251202000296,2025-12-02 09:32,邕宁,阳光城丽景湾,开荒保洁,熟练,7.5,829,4.6,小程序
NN20251221000297,2025-12-21 12:47,兴宁,瀚林山水源,日常保洁,新手,3.0,114,4.2,APP
NN20251225000298,2025-12-25 14:16,西乡塘,昌泰清华园,家电清洗,熟练,3.0,266,3.9,电话
NN20251213000299,2025-12-13 13:39,青秀,香格里拉花园,日常保洁,熟练,4.5,238,4.7,58到家
NN20251211000300,2025-12-11 18:56,青秀,万正鸣翠谷,日常保洁,熟练,5.0,270,3.8,美团
NN20251227000301,2025-12-27 17:00,西乡塘,联发西棠,日常保洁,新手,4.0,88,2.5,小程序
NN20251222000302,2025-12-22 09:14,兴宁,盛天东郡,深度清洁,新手,3.5,204,3.9,APP
NN20251216000303,2025-12-16 11:51,邕宁,万丰新新传说,家电清洗,金牌,3.5,360,4.2,美团
NN20251211000304,2025-12-11 13:26,江南,盛天领域,开荒保洁,新手,5.0,347,4.3,美团
NN20251211000305,2025-12-11 11:43,良庆,南宁恒大名都,日常保洁,新手,4.5,213,4.6,58到家
NN20251226000306,2025-12-26 17:22,兴宁,恒大华府,日常保洁,熟练,3.5,163,4.0,58到家
NN20251230000307,2025-12-30 15:24,兴宁,奥园园著,开荒保洁,熟练,5.5,585,4.7,小程序
NN20251231000308,2025-12-31 16:01,青秀,维也纳森林,开荒保洁,新手,4.0,308,4.5,美团
NN20251228000309,2025-12-28 12:53,江南,盛天领域,日常保洁,熟练,4.5,216,4.2,电话
NN20251223000310,2025-12-23 16:30,江南,盛天领域,开荒保洁,金牌,7.0,1057,4.0,小程序
NN20251224000311,2025-12-24 09:24,青秀,中房翡翠园,日常保洁,熟练,5.5,302,4.4,APP
NN20251231000312,2025-12-31 12:16,西乡塘,大唐天城,日常保洁,熟练,4.0,176,4.3,美团
NN20251210000313,2025-12-10 18:28,西乡塘,联发西棠,开荒保洁,熟练,5.0,488,4.4,APP
NN20251216000314,2025-12-16 17:43,良庆,碧水天和,日常保洁,新手,5.0,218,4.8,美团
NN20251216000315,2025-12-16 19:05,良庆,华润二十四城,日常保洁,金牌,3.5,203,3.1,小程序
NN20251214000316,2025-12-14 13:31,江南,风格雨林,日常保洁,熟练,3.5,156,4.8,APP
NN20251226000317,2025-12-26 08:56,兴宁,联发尚筑,开荒保洁,熟练,4.0,386,5.0,小程序
NN20251222000318,2025-12-22 15:08,青秀,中房翡翠园,日常保洁,金牌,4.0,147,2.9,58到家
NN20251219000319,2025-12-19 15:16,邕宁,中铁交通天地明珠,日常保洁,熟练,4.5,224,4.1,58到家
NN20251213000320,2025-12-13 08:27,西乡塘,正恒国际广场,日常保洁,熟练,3.5,169,4.3,美团
NN20251231000321,2025-12-31 10:40,青秀,万正鸣翠谷,日常保洁,熟练,4.0,223,3.7,小程序
NN20251216000322,2025-12-16 18:16,青秀,万正鸣翠谷,日常保洁,熟练,6.0,337,5.0,美团
NN20251201000323,2025-12-01 11:20,良庆,恒大绿洲,日常保洁,金牌,5.0,290,4.0,电话
NN20251229000324,2025-12-29 17:10,青秀,龙光君御华府,日常保洁,金牌,5.0,296,4.3,APP
NN20251208000325,2025-12-08 18:13,良庆,恒大绿洲,日常保洁,熟练,3.0,158,3.9,美团
NN20251208000326,2025-12-08 13:46,良庆,港保苑,日常保洁,熟练,4.5,224,4.0,APP
NN20251202000327,2025-12-02 10:51,武鸣,标营新区,深度清洁,新手,3.0,204,3.9,美团
NN20251230000328,2025-12-30 17:33,西乡塘,人和莱茵鹭湖,家电清洗,熟练,2.5,263,4.4,APP
NN20251207000329,2025-12-07 13:24,良庆,合景天汇广场,日常保洁,新手,4.5,201,4.1,58到家
NN20251223000330,2025-12-23 12:06,兴宁,金源城,深度清洁,熟练,6.0,414,4.4,APP
NN20251218000331,2025-12-18 08:18,青秀,山水方园,家电清洗,新手,2.5,225,4.5,小程序
NN20251217000332,2025-12-17 09:11,良庆,合景天汇广场,日常保洁,熟练,4.0,195,4.4,美团
NN20251203000333,2025-12-03 19:54,兴宁,恒大华府,深度清洁,新手,3.0,174,4.4,58到家
NN20251212000334,2025-12-12 11:19,青秀,盛天茗城,日常保洁,熟练,4.0,205,4.6,APP
NN20251224000335,2025-12-24 17:08,青秀,万正鸣翠谷,日常保洁,新手,4.5,205,4.3,美团
NN20251218000336,2025-12-18 08:09,武鸣,万隆国际,深度清洁,熟练,8.0,704,3.1,APP
NN20251220000337,2025-12-20 08:37,江南,风格雨林,深度清洁,新手,4.5,245,4.7,小程序
NN20251231000338,2025-12-31 14:50,良庆,阳光新城,深度清洁,熟练,5.0,349,4.0,美团
NN20251204000339,2025-12-04 18:09,武鸣,九个半岛,家电清洗,新手,1.0,116,3.7,小程序
NN20251215000340,2025-12-15 11:31,西乡塘,龙光水悦龙湾,深度清洁,金牌,5.5,441,4.4,美团
NN20251231000341,2025-12-31 09:59,江南,保利城,家电清洗,熟练,4.0,365,4.9,美团
NN20251224000342,2025-12-24 15:07,兴宁,奥园园著,家电清洗,熟练,1.5,123,4.4,APP
NN20251222000343,2025-12-22 15:21,青秀,华润幸福里,深度清洁,金牌,7.0,608,4.6,美团
NN20251213000344,2025-12-13 14:16,西乡塘,正恒国际广场,家电清洗,熟练,3.0,259,3.7,美团
NN20251208000345,2025-12-08 08:03,良庆,港保苑,日常保洁,金牌,4.5,271,4.1,小程序
NN20251210000346,2025-12-10 17:43,兴宁,恒大华府,开荒保洁,金牌,9.0,1438,4.5,APP
NN20251201000347,2025-12-01 08:58,江南,绿港阳光城,日常保洁,金牌,5.5,292,3.7,美团
NN20251228000348,2025-12-28 16:10,青秀,万正鸣翠谷,日常保洁,熟练,6.0,313,4.3,APP
NN20251226000349,2025-12-26 11:11,青秀,莱茵湖畔,深度清洁,熟练,8.0,599,4.0,小程序
NN20251220000350,2025-12-20 13:33,武鸣,九个半岛,开荒保洁,金牌,8.5,1648,4.1,小程序
NN20251215000351,2025-12-15 08:39,西乡塘,龙光水悦龙湾,日常保洁,熟练,4.5,205,4.2,美团
NN20251215000352,2025-12-15 18:30,青秀,凤岭春天,家电清洗,熟练,2.0,94,3.5,电话
NN20251210000353,2025-12-10 09:27,武鸣,麒麟御府,日常保洁,熟练,4.5,253,3.8,58到家
NN20251231000354,2025-12-31 11:01,良庆,阳光新城,日常保洁,新手,3.5,152,4.3,美团
NN20251207000355,2025-12-07 19:25,青秀,塞纳维拉花园,开荒保洁,新手,3.5,288,3.5,美团
NN20251218000356,2025-12-18 11:09,兴宁,恒大华府,深度清洁,熟练,4.0,260,3.8,58到家
NN20251217000357,2025-12-17 09:38,江南,融晟公园大地,深度清洁,新手,3.5,184,5.0,APP
NN20251206000358,2025-12-06 14:28,青秀,龙光君御华府,开荒保洁,新手,3.5,288,4.7,小程序
NN20251220000359,2025-12-20 18:20,邕宁,中铁交通天地明珠,日常保洁,新手,3.0,128,5.0,电话
NN20251211000360,2025-12-11 11:38,西乡塘,瀚林华府,开荒保洁,熟练,7.0,729,3.7,美团
NN20251204000361,2025-12-04 13:19,江南,融晟公园大地,日常保洁,熟练,3.5,155,3.7,58到家
NN20251222000362,2025-12-22 08:15,良庆,绿地国际花都,深度清洁,新手,3.0,185,4.8,APP
NN20251229000363,2025-12-29 10:10,良庆,合景天汇广场,深度清洁,熟练,8.0,628,4.4,美团
NN20251222000364,2025-12-22 13:19,江南,融晟公园大地,深度清洁,新手,3.5,187,4.0,APP
NN20251205000365,2025-12-05 17:42,江南,盛天领域,深度清洁,熟练,8.0,534,4.6,小程序
NN20251207000366,2025-12-07 17:49,武鸣,恒泰丽园,开荒保洁,熟练,5.0,441,3.5,小程序
NN20251203000367,2025-12-03 12:03,西乡塘,骋望麓涛,开荒保洁,熟练,7.0,689,4.5,美团
NN20251204000368,2025-12-04 08:45,青秀,保利21世家,开荒保洁,熟练,5.0,567,4.1,美团
NN20251209000369,2025-12-09 10:00,良庆,华润二十四城,家电清洗,熟练,2.5,267,4.5,美团
NN20251223000370,2025-12-23 10:27,江南,昌泰鑫金绿洲,深度清洁,新手,4.5,264,4.2,小程序
NN20251231000371,2025-12-31 11:57,邕宁,万丰新新传说,日常保洁,金牌,5.5,324,4.2,58到家
NN20251230000372,2025-12-30 19:54,良庆,港保苑,开荒保洁,熟练,6.5,698,4.9,小程序
NN20251213000373,2025-12-13 18:49,邕宁,南宁宝能城市广场,深度清洁,新手,5.0,301,4.4,APP
NN20251209000374,2025-12-09 08:25,青秀,蓝山上城,开荒保洁,熟练,6.0,739,4.2,电话
NN20251202000375,2025-12-02 16:06,武鸣,红岭小区,深度清洁,熟练,5.5,440,4.4,美团
NN20251201000376,2025-12-01 15:31,兴宁,金源城,开荒保洁,新手,4.5,313,4.5,小程序
NN20251215000377,2025-12-15 14:33,西乡塘,荣和摩客社区,日常保洁,熟练,4.5,201,4.4,APP
NN20251228000378,2025-12-28 19:43,邕宁,世茂茂御府,日常保洁,新手,3.5,147,4.5,APP
NN20251227000379,2025-12-27 08:15,良庆,南宁恒大名都,家电清洗,新手,1.5,113,4.4,小程序
NN20251228000380,2025-12-28 15:11,江南,绿港阳光城,家电清洗,新手,1.5,102,4.4,美团
NN20251225000381,2025-12-25 09:41,青秀,华润幸福里,深度清洁,熟练,5.0,363,5.0,58到家
NN20251219000382,2025-12-19 15:55,江南,保利城,日常保洁,熟练,6.0,280,3.7,小程序
NN20251205000383,2025-12-05 08:21,江南,保利城,开荒保洁,熟练,6.5,716,4.8,小程序
NN20251211000384,2025-12-11 12:10,西乡塘,龙光水悦龙湾,日常保洁,熟练,4.0,79,3.5,小程序
NN20251217000385,2025-12-17 11:11,邕宁,中铁交通天地明珠,日常保洁,新手,3.5,154,4.5,58到家
NN20251217000386,2025-12-17 15:49,兴宁,恒大华府,开荒保洁,熟练,4.0,420,3.8,小程序
NN20251205000387,2025-12-05 16:35,青秀,山水方园,家电清洗,金牌,2.5,373,4.0,小程序
NN20251220000388,2025-12-20 16:21,武鸣,武鸣碧桂园,日常保洁,熟练,4.5,245,3.4,小程序
NN20251214000389,2025-12-14 16:45,兴宁,恒大华府,日常保洁,熟练,5.0,233,3.4,58到家
NN20251225000390,2025-12-25 16:04,良庆,南宁恒大名都,日常保洁,熟练,3.5,184,4.2,美团
NN20251212000391,2025-12-12 12:56,江南,融晟公园大地,深度清洁,新手,5.5,322,4.6,电话
NN20251219000392,2025-12-19 19:41,青秀,香格里拉花园,日常保洁,金牌,4.5,251,3.9,美团
NN20251229000393,2025-12-29 09:33,青秀,维也纳森林,深度清洁,熟练,8.0,600,5.0,小程序
NN20251224000394,2025-12-24 09:45,良庆,合景天汇广场,开荒保洁,新手,5.0,280,2.1,58到家
NN20251205000395,2025-12-05 16:45,兴宁,江宇世纪城,日常保洁,新手,4.0,167,4.0,APP
NN20251207000396,2025-12-07 13:07,青秀,香格里拉花园,深度清洁,熟练,4.0,320,3.8,小程序
NN20251208000397,2025-12-08 09:43,武鸣,麒麟御府,日常保洁,熟练,4.0,238,5.0,美团
NN20251201000398,2025-12-01 16:43,良庆,天誉花园,日常保洁,新手,4.5,189,4.4,小程序
NN20251219000399,2025-12-19 12:51,武鸣,万隆国际,日常保洁,新手,4.0,199,4.5,美团
NN20251211000400,2025-12-11 16:58,良庆,万科魅力之城,开荒保洁,新手,3.5,280,3.7,美团
NN20251216000401,2025-12-16 09:03,青秀,盛天茗城,日常保洁,金牌,3.5,196,4.4,美团
NN20251209000402,2025-12-09 08:46,江南,风格雨林,日常保洁,熟练,3.5,157,5.0,58到家
NN20251229000403,2025-12-29 13:05,青秀,中房翡翠园,日常保洁,金牌,3.5,207,3.3,小程序
NN20251218000404,2025-12-18 18:15,青秀,龙光君御华府,开荒保洁,熟练,7.5,954,4.1,美团
NN20251215000405,2025-12-15 17:17,青秀,山水方园,日常保洁,熟练,4.0,213,3.7,美团
NN20251214000406,2025-12-14 18:58,西乡塘,大嘉汇尚悦,日常保洁,新手,5.0,203,4.6,小程序
NN20251222000407,2025-12-22 08:40,良庆,南宁恒大名都,日常保洁,金牌,5.5,316,4.0,58到家
NN20251228000408,2025-12-28 11:38,江南,盛天领域,日常保洁,新手,3.0,121,4.8,美团
NN20251205000409,2025-12-05 15:44,青秀,华润幸福里,深度清洁,金牌,5.0,468,4.1,美团
NN20251225000410,2025-12-25 12:33,良庆,碧水天和,日常保洁,熟练,6.0,319,4.6,58到家
NN20251201000411,2025-12-01 09:16,江南,昌泰鑫金绿洲,深度清洁,金牌,5.5,441,3.7,APP
NN20251223000412,2025-12-23 16:27,西乡塘,荣和摩客社区,开荒保洁,熟练,5.5,565,4.9,美团
NN20251229000413,2025-12-29 13:47,江南,盛天领域,日常保洁,熟练,5.5,244,4.1,小程序
NN20251225000414,2025-12-25 19:54,兴宁,中海国际社区,开荒保洁,新手,3.5,241,3.8,58到家
NN20251220000415,2025-12-20 17:59,邕宁,南宁宝能城市广场,深度清洁,熟练,5.0,185,2.8,APP
NN20251211000416,2025-12-11 10:47,青秀,中房翡翠园,深度清洁,熟练,5.0,376,4.8,小程序
NN20251228000417,2025-12-28 08:26,良庆,港保苑,开荒保洁,新手,3.5,262,4.5,电话
NN20251228000418,2025-12-28 14:32,邕宁,合景天峻广场,日常保洁,金牌,5.0,277,4.2,美团
NN20251217000419,2025-12-17 15:51,江南,风格雨林,日常保洁,新手,4.5,181,4.0,美团
NN20251223000420,2025-12-23 19:00,邕宁,阳光城丽景湾,日常保洁,新手,4.0,185,3.9,58到家
NN20251208000421,2025-12-08 14:18,良庆,南宁恒大名都,家电清洗,熟练,2.0,134,4.5,小程序
NN20251219000422,2025-12-19 16:23,青秀,莱茵湖畔,深度清洁,熟练,4.5,364,3.7,58到家
NN20251230000423,2025-12-30 11:04,江南,融晟公园大地,家电清洗,金牌,4.0,508,4.5,APP
NN20251207000424,2025-12-07 15:50,邕宁,龙光玖珑湾,深度清洁,熟练,5.0,386,3.7,小程序
NN20251228000425,2025-12-28 11:37,青秀,荣和大地,开荒保洁,新手,5.5,437,4.5,小程序
NN20251202000426,2025-12-02 19:37,良庆,阳光新城,日常保洁,新手,4.0,189,3.5,小程序
NN20251223000427,2025-12-23 11:59,青秀,凤岭春天,家电清洗,新手,2.5,223,4.3,58到家
NN20251212000428,2025-12-12 15:17,西乡塘,荣和摩客社区,开荒保洁,熟练,7.5,828,4.1,58到家
NN20251203000429,2025-12-03 12:31,青秀,华润幸福里,家电清洗,熟练,3.0,297,3.8,APP
NN20251217000430,2025-12-17 18:50,良庆,恒大绿洲,日常保洁,新手,4.5,204,3.3,APP
NN20251204000431,2025-12-04 12:42,良庆,万科魅力之城,开荒保洁,金牌,5.5,934,3.9,小程序
NN20251202000432,2025-12-02 08:05,西乡塘,大嘉汇尚悦,日常保洁,熟练,5.0,225,4.9,58到家
NN20251206000433,2025-12-06 19:14,青秀,华润幸福里,家电清洗,新手,1.0,112,4.2,美团
NN20251212000434,2025-12-12 18:41,武鸣,麒麟御府,日常保洁,熟练,4.5,243,4.1,美团
NN20251213000435,2025-12-13 12:35,西乡塘,联发西棠,日常保洁,金牌,4.0,210,3.7,58到家
NN20251221000436,2025-12-21 19:49,青秀,中房翡翠园,家电清洗,熟练,3.0,298,4.4,美团
NN20251220000437,2025-12-20 08:11,良庆,合景天汇广场,家电清洗,新手,2.0,111,4.1,小程序
NN20251229000438,2025-12-29 17:58,武鸣,红岭小区,开荒保洁,新手,3.0,275,3.9,APP
NN20251212000439,2025-12-12 09:36,江南,融晟公园大地,深度清洁,熟练,6.5,462,4.1,电话
NN20251221000440,2025-12-21 17:17,青秀,万正鸣翠谷,日常保洁,新手,4.0,194,4.3,美团
NN20251206000441,2025-12-06 12:35,兴宁,保利山渐青,家电清洗,金牌,4.0,489,3.7,小程序
NN20251225000442,2025-12-25 19:33,江南,保利城,深度清洁,新手,5.0,261,4.9,58到家
NN20251224000443,2025-12-24 15:41,兴宁,保利山渐青,日常保洁,新手,4.5,173,4.1,58到家
NN20251214000444,2025-12-14 17:57,兴宁,中海国际社区,开荒保洁,新手,5.0,333,4.0,APP
NN20251213000445,2025-12-13 15:40,西乡塘,龙光水悦龙湾,日常保洁,金牌,5.0,255,4.3,小程序
NN20251209000446,2025-12-09 15:46,邕宁,世茂茂御府,日常保洁,新手,3.0,130,3.6,电话
NN20251220000447,2025-12-20 17:17,武鸣,红岭小区,日常保洁,熟练,4.0,222,5.0,APP
NN20251225000448,2025-12-25 17:28,西乡塘,昌泰清华园,日常保洁,金牌,4.0,198,5.0,电话
NN20251221000449,2025-12-21 15:59,邕宁,中铁交通天地明珠,家电清洗,金牌,5.0,554,4.6,美团
NN20251214000450,2025-12-14 10:46,良庆,合景天汇广场,日常保洁,熟练,5.5,287,4.2,58到家
NN20251214000451,2025-12-14 12:46,邕宁,阳光城丽景湾,日常保洁,熟练,4.0,215,4.5,小程序
NN20251202000452,2025-12-02 10:36,江南,盛天领域,开荒保洁,熟练,5.0,525,4.7,58到家
NN20251206000453,2025-12-06 12:33,江南,龙光普罗旺斯,深度清洁,新手,5.0,289,4.7,美团
NN20251219000454,2025-12-19 09:33,良庆,阳光新城,深度清洁,新手,6.0,381,4.7,美团
NN20251212000455,2025-12-12 17:42,江南,融晟公园大地,日常保洁,金牌,5.0,277,4.4,电话
NN20251228000456,2025-12-28 12:59,青秀,维也纳森林,日常保洁,熟练,4.0,225,3.6,小程序
NN20251227000457,2025-12-27 19:01,兴宁,中海国际社区,家电清洗,新手,2.0,95,4.4,小程序
NN20251205000458,2025-12-05 17:01,江南,保利城,日常保洁,熟练,5.0,232,4.7,美团
NN20251226000459,2025-12-26 12:15,良庆,碧水天和,日常保洁,熟练,5.0,261,4.1,电话
NN20251203000460,2025-12-03 11:19,良庆,天誉花园,深度清洁,金牌,5.0,423,3.9,58到家
NN20251216000461,2025-12-16 17:55,良庆,阳光新城,深度清洁,熟练,6.0,453,4.6,小程序
NN20251208000462,2025-12-08 12:02,良庆,碧水天和,日常保洁,熟练,6.0,308,3.6,APP
NN20251210000463,2025-12-10 18:27,兴宁,保利山渐青,日常保洁,熟练,5.0,225,4.3,APP
NN20251210000464,2025-12-10 18:22,兴宁,保利山渐青,深度清洁,新手,3.0,155,4.4,小程序
NN20251224000465,2025-12-24 12:28,江南,龙光普罗旺斯,家电清洗,熟练,2.0,118,3.9,APP
NN20251209000466,2025-12-09 11:17,江南,金湾花城,开荒保洁,新手,5.0,363,4.5,电话
NN20251229000467,2025-12-29 13:36,青秀,华润幸福里,开荒保洁,熟练,7.5,894,3.9,美团
NN20251207000468,2025-12-07 15:09,青秀,中房翡翠园,深度清洁,熟练,6.5,499,4.0,美团
NN20251220000469,2025-12-20 17:34,兴宁,盛天东郡,日常保洁,新手,5.0,213,4.8,APP
NN20251217000470,2025-12-17 19:33,兴宁,盛天东郡,日常保洁,熟练,4.5,216,4.6,APP
NN20251218000471,2025-12-18 11:03,青秀,荣和大地,深度清洁,熟练,8.0,612,4.0,美团
NN20251210000472,2025-12-10 10:10,江南,昌泰鑫金绿洲,家电清洗,熟练,2.5,249,4.3,APP
NN20251227000473,2025-12-27 16:21,良庆,绿地国际花都,开荒保洁,熟练,7.5,913,5.0,美团
NN20251224000474,2025-12-24 15:13,青秀,华润幸福里,日常保洁,熟练,3.5,183,4.8,美团
NN20251203000475,2025-12-03 15:14,兴宁,联发尚筑,开荒保洁,熟练,7.0,706,4.2,APP
NN20251231000476,2025-12-31 18:29,青秀,万正鸣翠谷,深度清洁,金牌,5.0,434,4.6,APP
NN20251204000477,2025-12-04 09:17,青秀,维也纳森林,开荒保洁,金牌,5.5,977,4.5,小程序
NN20251224000478,2025-12-24 15:22,兴宁,金源城,开荒保洁,新手,4.0,288,4.2,美团
NN20251230000479,2025-12-30 16:28,邕宁,龙光玖珑湾,家电清洗,熟练,3.5,272,4.1,58到家
NN20251226000480,2025-12-26 10:08,青秀,荣和大地,日常保洁,熟练,4.0,215,3.8,小程序
NN20251214000481,2025-12-14 16:03,青秀,荣和大地,日常保洁,熟练,5.0,282,4.2,APP
NN20251203000482,2025-12-03 10:10,江南,南宁奥园,日常保洁,金牌,3.0,157,4.1,电话
NN20251209000483,2025-12-09 12:33,西乡塘,大嘉汇尚悦,家电清洗,熟练,2.5,262,3.9,电话
NN20251210000484,2025-12-10 13:12,良庆,万科魅力之城,日常保洁,熟练,5.0,260,3.7,小程序
NN20251212000485,2025-12-12 08:20,青秀,龙光君御华府,开荒保洁,熟练,7.0,819,4.1,58到家
NN20251201000486,2025-12-01 08:56,江南,龙光普罗旺斯,日常保洁,新手,4.5,170,4.5,电话
NN20251231000487,2025-12-31 11:39,青秀,中房翡翠园,日常保洁,金牌,5.0,279,3.8,电话
NN20251208000488,2025-12-08 16:12,江南,保利城,日常保洁,熟练,5.5,241,3.8,小程序
NN20251212000489,2025-12-12 14:21,良庆,合景天汇广场,深度清洁,熟练,5.5,414,4.4,小程序
NN20251230000490,2025-12-30 12:52,兴宁,金源城,日常保洁,熟练,3.0,132,4.6,58到家
NN20251202000491,2025-12-02 14:41,良庆,合景天汇广场,日常保洁,熟练,4.0,199,4.1,58到家
NN20251206000492,2025-12-06 14:27,良庆,阳光新城,开荒保洁,金牌,5.5,929,5.0,电话
NN20251230000493,2025-12-30 19:47,青秀,龙光君御华府,深度清洁,新手,4.0,248,4.8,APP
NN20251211000494,2025-12-11 17:48,青秀,蓝山上城,开荒保洁,熟练,6.0,705,4.3,美团
NN20251207000495,2025-12-07 18:42,江南,金湾花城,深度清洁,熟练,7.0,465,3.9,美团
NN20251217000496,2025-12-17 18:09,邕宁,阳光城丽景湾,家电清洗,熟练,2.0,135,3.9,美团
NN20251231000497,2025-12-31 11:41,西乡塘,大嘉汇尚悦,日常保洁,新手,3.5,149,3.9,58到家
NN20251203000498,2025-12-03 10:34,武鸣,九个半岛,深度清洁,金牌,7.5,734,4.1,美团
NN20251226000499,2025-12-26 19:25,青秀,凤岭春天,日常保洁,新手,3.5,172,4.4,小程序
NN20251206000500,2025-12-06 15:58,青秀,龙光君御华府,日常保洁,新手,4.0,185,4.5,美团
NN20251221000501,2025-12-21 17:48,青秀,保利21世家,家电清洗,新手,2.0,113,4.7,美团
NN20251218000502,2025-12-18 17:58,良庆,龙光玖珑湖,家电清洗,熟练,2.0,149,3.9,58到家
NN20251228000503,2025-12-28 19:03,青秀,盛天茗城,深度清洁,金牌,5.5,497,4.6,美团
NN20251216000504,2025-12-16 09:19,西乡塘,人和莱茵鹭湖,开荒保洁,熟练,4.5,471,3.9,APP
NN20251223000505,2025-12-23 12:09,青秀,龙光君御华府,深度清洁,新手,4.0,246,4.4,美团
NN20251211000506,2025-12-11 12:09,青秀,山水方园,开荒保洁,熟练,6.5,816,4.2,APP
NN20251207000507,2025-12-07 11:36,青秀,莱茵湖畔,日常保洁,熟练,4.5,224,4.8,美团
NN20251207000508,2025-12-07 16:52,邕宁,世茂茂御府,深度清洁,熟练,6.0,454,4.5,APP
NN20251201000509,2025-12-01 11:22,武鸣,万隆国际,日常保洁,金牌,5.0,341,4.1,美团
NN20251231000510,2025-12-31 11:55,西乡塘,大唐天城,家电清洗,金牌,2.5,342,4.6,APP
NN20251217000511,2025-12-17 16:56,武鸣,武鸣碧桂园,日常保洁,金牌,4.5,287,4.5,美团
NN20251208000512,2025-12-08 18:51,西乡塘,龙光水悦龙湾,日常保洁,熟练,4.0,191,4.6,美团
NN20251213000513,2025-12-13 18:26,江南,汇东星城,深度清洁,新手,3.5,202,3.8,美团
NN20251214000514,2025-12-14 08:50,青秀,蓝山上城,家电清洗,熟练,3.5,286,4.7,电话
NN20251205000515,2025-12-05 10:06,江南,南宁奥园,日常保洁,熟练,4.5,194,4.5,美团
NN20251208000516,2025-12-08 16:35,青秀,塞纳维拉花园,深度清洁,熟练,7.0,528,4.4,58到家
NN20251213000517,2025-12-13 14:28,良庆,合景天汇广场,日常保洁,熟练,4.5,218,4.7,APP
NN20251225000518,2025-12-25 19:45,西乡塘,联发西棠,开荒保洁,金牌,6.0,959,4.7,58到家
NN20251230000519,2025-12-30 11:39,青秀,山水方园,家电清洗,金牌,2.5,396,3.7,APP
NN20251215000520,2025-12-15 17:50,良庆,南宁恒大名都,日常保洁,熟练,3.5,170,5.0,小程序
NN20251212000521,2025-12-12 19:52,良庆,华润二十四城,日常保洁,熟练,4.0,207,3.7,美团
NN20251204000522,2025-12-04 12:47,良庆,碧水天和,日常保洁,新手,4.0,187,4.7,美团
NN20251218000523,2025-12-18 19:06,兴宁,联发尚筑,深度清洁,金牌,7.0,521,4.0,美团
NN20251229000524,2025-12-29 09:34,青秀,维也纳森林,家电清洗,新手,2.5,239,3.3,小程序
NN20251203000525,2025-12-03 16:04,青秀,维也纳森林,家电清洗,熟练,3.5,308,4.0,小程序
NN20251216000526,2025-12-16 11:31,江南,融晟公园大地,深度清洁,熟练,6.0,397,4.1,美团
NN20251217000527,2025-12-17 12:15,兴宁,盛天东郡,日常保洁,新手,3.5,138,4.1,美团
NN20251206000528,2025-12-06 19:31,西乡塘,荣和摩客社区,开荒保洁,新手,3.5,235,4.2,APP
NN20251204000529,2025-12-04 19:47,青秀,龙光君御华府,深度清洁,熟练,7.0,516,4.4,美团
NN20251210000530,2025-12-10 19:25,青秀,保利21世家,深度清洁,新手,4.0,153,3.3,58到家
NN20251222000531,2025-12-22 11:28,江南,昌泰鑫金绿洲,日常保洁,金牌,3.0,150,4.1,小程序
NN20251230000532,2025-12-30 15:37,青秀,华润幸福里,家电清洗,熟练,3.0,276,3.6,小程序
NN20251209000533,2025-12-09 14:37,良庆,融创九棠府,日常保洁,新手,5.0,218,3.5,小程序
NN20251207000534,2025-12-07 18:04,邕宁,合景天峻广场,日常保洁,熟练,3.0,150,4.4,58到家
NN20251208000535,2025-12-08 12:09,西乡塘,昌泰清华园,日常保洁,新手,4.0,164,4.9,58到家
NN20251231000536,2025-12-31 11:00,青秀,万正鸣翠谷,日常保洁,熟练,4.5,222,4.4,58到家
NN20251204000537,2025-12-04 12:13,西乡塘,荣和摩客社区,深度清洁,新手,4.5,242,4.1,小程序
NN20251202000538,2025-12-02 12:24,良庆,绿地国际花都,深度清洁,熟练,4.5,350,3.9,电话
NN20251220000539,2025-12-20 11:19,西乡塘,正恒国际广场,深度清洁,熟练,7.0,455,5.0,美团
